state_code,state
US-AL,Alabama
US-AK,Alaska
US-AZ,Arizona
US-AR,Arkansas
US-CA,California
US-CO,Colorado
US-CT,Connecticut
US-DE,Delaware
US-FL,Florida
US-GA,Georgia
US-HI,Hawaii
US-ID,Idaho
US-IL,Illinois
US-IN,Indiana
US-IA,Iowa
US-KS,Kansas
US-KY,Kentucky
US-LA,Louisiana
US-ME,Maine
US-MD,Maryland
US-MA,Massachusetts
US-MI,Michigan
US-MN,Minnesota
US-MS,Mississippi
US-MO,Missouri
US-MT,Montana
US-NE,Nebraska
US-NV,Nevada
US-NH,NewHampshire
US-NJ,NewJersey
US-NM,NewMexico
US-NY,NewYork
US-NC,NorthCarolina
US-ND,NorthDakota
US-OH,Ohio
US-OK,Oklahoma
US-OR,Oregon
US-PA,Pennsylvania
US-RI,RhodeIsland
US-SC,SouthCarolina
US-SD,SouthDakota
US-TN,Tennessee
US-TX,Texas
US-UT,Utah
US-VT,Vermont
US-VA,Virginia
US-WA,Washington
US-WV,WestVirginia
US-WI,Wisconsin
US-WY,Wyoming
US-DC,DistrictofColumbia
US-AS,AmericanSamoa
US-GU,Guam
US-MP,NorthernMarianaIslands
US-PR,PuertoRico
US-UM,UnitedStatesMinorOutlyingIslands
US-VI,"VirginIslands,U.S."
